"filename", "language", "JSON", "JavaScript", "Markdown", "MS SQL", "Log", "comment", "blank", "total"
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\README.md", "Markdown", 0, 0, 29, 0, 0, 0, 11, 40
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\app.js", "JavaScript", 0, 36, 0, 0, 0, 4, 13, 53
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\config\database.js", "JavaScript", 0, 16, 0, 0, 0, 1, 4, 21
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\config\multer.js", "JavaScript", 0, 29, 0, 0, 0, 2, 6, 37
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\config\sendEmail.js", "JavaScript", 0, 23, 0, 0, 0, 1, 7, 31
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\controllers\authController.js", "JavaScript", 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\controllers\credentialController.js", "JavaScript", 0, 101, 0, 0, 0, 6, 26, 133
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\controllers\invoiceController.js", "JavaScript", 0, 71, 0, 0, 0, 5, 10, 86
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\controllers\templateController.js", "JavaScript", 0, 119, 0, 0, 0, 8, 19, 146
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\controllers\templateMessageController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\controllers\userController.js", "JavaScript", 0, 446, 0, 0, 0, 21, 76, 543
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\controllers\webhookController.js", "JavaScript", 0, 29, 0, 0, 0, 1, 9, 39
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\logs\webhook.log", "Log", 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\middleware\Admin.js", "JavaScript", 0, 22, 0, 0, 0, 0, 6, 28
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\middleware\auth.js", "JavaScript", 0, 35, 0, 0, 0, 0, 12, 47
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\middleware\multer.js", "JavaScript", 0, 4, 0, 0, 0, 1, 4, 9
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\models\credentialModel.js", "JavaScript", 0, 75, 0, 0, 0, 6, 15, 96
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\models\invoiceModel.js", "JavaScript", 0, 51, 0, 0, 0, 3, 10, 64
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\models\templateMessageModel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\models\templateModel.js", "JavaScript", 0, 59, 0, 0, 0, 3, 10, 72
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\models\userModel.js", "JavaScript", 0, 41, 0, 0, 0, 3, 8, 52
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\package-lock.json", "JSON", 2067, 0, 0, 0, 0, 0, 1, 2068
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\package.json", "JSON", 30, 0, 0, 0, 0, 0, 1, 31
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\routes\authRoute.js", "JavaScript", 0, 5, 0, 0, 0, 1, 3, 9
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\routes\credentialRoute.js", "JavaScript", 0, 16, 0, 0, 0, 3, 7, 26
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\routes\invoiceRoute.js", "JavaScript", 0, 12, 0, 0, 0, 4, 5, 21
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\routes\mediaRoute.js", "JavaScript", 0, 7, 0, 0, 0, 1, 4, 12
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\routes\mediaRoutes.js", "JavaScript", 0, 25, 0, 0, 0, 2, 9, 36
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\routes\templateRoute.js", "JavaScript", 0, 8, 0, 0, 0, 7, 9, 24
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\routes\userRoute.js", "JavaScript", 0, 29, 0, 0, 0, 4, 8, 41
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\routes\webhookRoute.js", "JavaScript", 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\schema\create-tables.sql", "MS SQL", 0, 0, 0, 65, 0, 6, 8, 79
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\schema\seedAdmin.js", "JavaScript", 0, 88, 0, 0, 0, 5, 14, 107
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\schema\seedInvoice.js", "JavaScript", 0, 64, 0, 0, 0, 3, 7, 74
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\server.js", "JavaScript", 0, 5, 0, 0, 0, 4, 3, 12
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\services\whatsappService.js", "JavaScript", 0, 187, 0, 0, 0, 18, 34, 239
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\utils\forgotPasswordTemplate.js", "JavaScript", 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\utils\generatedAccessToken.js", "JavaScript", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\utils\generatedOtp.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\utils\generatedRefreshToken.js", "JavaScript", 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\utils\toCamelCase.js", "JavaScript", 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\utils\uploadImageClodinary.js", "JavaScript", 0, 16, 0, 0, 0, 0, 6, 22
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Server\Whatsapp-Business-MAAS-Server\utils\verifyEmailTemplate.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"Total", "-", 2097, 1706, 29, 65, 1, 123, 386, 4407